I,J,DL,Z,R,Q(I->J),"E""corr","E""uncorr","E""IJ-E""I-E""J",corr/uncorr,"dDIJ*VIJ,unc",Gsol,"tot,corr"
46,34,C1,0,4.8,0,-463.6360612,-461.3273614,-0.00000914,-0.00000732,-0.00000071,0,-0.006
46,35,C1,0,5.64,0,-463.6361017,-461.3274065,-0.00000753,-0.00000659,0.00000056,0,-0.004
46,36,N1,0,7.26,0,-461.3281464,-461.3281464,0.00000058,0.00000058,0.00000017,0,0
46,37,C1,0,3.59,0,-463.6362526,-461.3277248,0.00002083,0.0000282,-0.00000101,0,0.012
46,38,C1,0,2.99,0,-463.6353088,-461.3270663,-0.00007659,-0.00005159,0.00000585,0,-0.044
46,39,C1,0,4.17,0,-463.635237,-461.3270198,-0.00000312,0.00000128,0.00000097,0,-0.001
46,40,C1,0,6.18,0,-463.6362874,-461.3277639,0.00000507,0.00000551,-0.00000026,0,0.003
46,41,C1,0,2.32,0,-463.636375,-461.3277826,-0.00008749,-0.00000929,0.00000991,0,-0.049
46,42,C1,0,1.18,0,-463.6396007,-461.3271752,-0.00437103,-0.00016441,0.0001003,0,-2.68
46,43,C1,0,3.09,0,-463.6351361,-461.326894,0.00009359,0.00012219,-0.00001068,0,0.052
46,44,C1,0,5.26,0,-463.636271,-461.3277423,0.00000966,0.00001077,-0.00000121,0,0.005
46,45,C1,0,2.19,0,-463.6371739,-461.328175,-0.00020306,-0.00004511,-0.00001009,0,-0.134
47,1,N1,0,6.6,0,-461.3275991,-461.3275991,0.00000517,0.00000517,-0.0000015,0,0.002
47,2,C1,0,5.77,0,-463.6360841,-461.3272261,0.00000183,0.00000234,-0.0000023,0,0
47,3,C1,0,6,0,-463.6361295,-461.3272641,-0.000006,-0.00000525,-0.00000045,0,-0.004
47,4,N1,0,7.19,0,-461.328032,-461.328032,-0.00000154,-0.00000154,0.00000026,0,-0.001
47,5,C1,0,5.43,0,-463.6363885,-461.327669,0.00000708,0.0000078,-0.00000199,0,0.003
47,6,C1,0,4.38,0,-463.6352931,-461.3269395,0.00000075,0.00000331,-0.00000195,0,-0.001
47,7,C1,0,4.64,0,-463.6353069,-461.3269421,-0.00001363,-0.00001052,0.00000149,0,-0.008
47,8,C1,0,6,0,-463.6363822,-461.3277248,0.00000028,0.00000096,0.00000041,0,0
47,9,C1,0,4.69,0,-463.6364054,-461.3276885,0.00000589,0.00000807,-0.00000275,0,0.002
47,10,C1,0,3.26,0,-463.635273,-461.3269173,0.00000852,0.00002002,-0.00000496,0,0.002
47,11,C1,0,3.46,0,-463.6353215,-461.3269539,-0.00003662,-0.00002399,0.00000404,0,-0.02
47,12,C1,0,5.13,0,-463.6363459,-461.3276835,0.00000147,0.00000302,0.00000003,0,0.001
47,13,C1,0,4.39,0,-463.6374045,-461.3283162,-0.00000693,-0.00000346,-0.00000072,0,-0.005
47,14,C1,0,2.68,0,-463.6362113,-461.3272624,0.00000065,0.00002723,0.0000011,0,0.001
47,15,C1,0,2.99,0,-463.6362467,-461.3272877,-0.00003801,-0.00001199,0.00000017,0,-0.024
47,16,C1,0,4.61,0,-463.6367337,-461.3276094,-0.00000461,-0.00000203,-0.00000181,0,-0.004
47,17,C1,0,6.35,0,-463.6365775,-461.3276944,0.00000509,0.00000539,-0.00000089,0,0.003
47,18,C1,0,5.17,0,-463.6359904,-461.3273003,0.00000568,0.00000651,-0.00000268,0,0.002
47,19,C1,0,5.11,0,-463.6360521,-461.3273582,-0.00001017,-0.00000872,-0.00000048,0,-0.007
47,20,C1,0,6.21,0,-463.6369283,-461.3280899,-0.00000298,-0.00000239,0.00000042,0,-0.002
47,21,C1,0,5.13,0,-463.6362299,-461.3277044,0.00000478,0.00000596,-0.0000008,0,0.003
47,22,C1,0,3.56,0,-463.6351678,-461.326951,0.00001591,0.00002256,-0.00000471,0,0.007
47,23,C1,0,3.47,0,-463.6352332,-461.3270053,-0.00004894,-0.00003678,0.00000461,0,-0.028
47,24,C1,0,4.94,0,-463.636238,-461.3277253,0.00000405,0.00000583,0.00000053,0,0.003
47,25,C1,0,4.34,0,-463.6362523,-461.3277288,-0.00000548,-0.00000187,-0.00000016,0,-0.004
47,26,C1,0,2.19,0,-463.635128,-461.3268392,0.0000602,0.0001395,-0.00002804,0,0.02
47,27,C1,0,2.09,0,-463.6356094,-461.3271919,-0.00042236,-0.00021914,0.00002554,0,-0.249
47,28,C1,0,3.95,0,-463.6361988,-461.3276753,0.0000295,0.00003572,-0.00000267,0,0.017
47,29,C1,0,4.25,0,-463.6369705,-461.3281157,-0.00001577,-0.00001099,-0.00000117,0,-0.011
47,30,C1,0,1.86,0,-463.6365862,-461.3276062,-0.00053756,-0.00024852,-0.00000259,0,-0.339
47,31,C1,0,1.13,0,-463.6395487,-461.3261896,-0.00354176,0.0011226,-0.00006986,0,-2.266
47,32,C1,0,3.2,0,-463.6365806,-461.3276831,-0.00001179,0.00000626,-0.00000929,0,-0.013
47,33,N1,0,6.62,0,-461.3276856,-461.3276856,0.00000375,0.00000375,-0.00000011,0,0.002
47,34,C1,0,5.19,0,-463.6359985,-461.327303,0.00000797,0.00000884,-0.00000186,0,0.004
47,35,C1,0,4.8,0,-463.6360578,-461.327365,-0.0000092,-0.00000737,-0.00000068,0,-0.006
47,36,C1,0,5.64,0,-463.6369602,-461.3281092,-0.00000548,-0.00000452,0.00000053,0,-0.003
47,37,C1,0,5.46,0,-463.6362275,-461.3277092,0.00000043,0.00000144,0.00000065,0,0.001
47,38,C1,0,3.59,0,-463.6351674,-461.3269459,0.00001922,0.00002647,-0.00000225,0,0.011
47,39,C1,0,2.99,0,-463.6352644,-461.3270298,-0.00007605,-0.00005102,0.00000598,0,-0.044
47,40,C1,0,4.17,0,-463.6362467,-461.327722,0.00000023,0.00000506,0.00000097,0,0.001
47,41,C1,0,4.73,0,-463.6362523,-461.327739,-0.00001039,-0.00000803,0.00000226,0,-0.005
47,42,C1,0,2.32,0,-463.6352708,-461.3269769,-0.00008664,-0.00000841,0.00000744,0,-0.05
47,43,C1,0,1.18,0,-463.6395523,-461.3271367,-0.00436822,-0.00016278,0.0000987,0,-2.679
47,44,C1,0,3.09,0,-463.6361403,-461.3275861,0.00009484,0.00012466,-0.00000932,0,0.054
47,45,C1,0,4.66,0,-463.6369326,-461.3280926,-0.00000733,-0.00000497,-0.0000016,0,-0.006
47,46,C1,0,2.19,0,-463.6362101,-461.3273599,-0.0001681,-0.00001036,-0.00002741,0,-0.123
48,1,N1,0,8.18,0,-461.3279948,-461.3279948,0.00000208,0.00000208,-0.00000038,0,0.001
48,2,N1,0,6.6,0,-461.3276159,-461.3276159,0.00000509,0.00000509,-0.00000146,0,0.002
48,3,C1,0,5.77,0,-463.6367082,-461.3276494,0.0000015,0.00000204,-0.0000018,0,0
48,4,C1,0,6,0,-463.6376183,-461.3284271,-0.00000476,-0.00000404,0,0,-0.003
48,5,N1,0,7.27,0,-461.328068,-461.328068,0.0000014,0.0000014,-0.00000035,0,0.001
48,6,C1,0,5.43,0,-463.6358756,-461.3273304,0.00000437,0.00000508,-0.00000139,0,0.002
48,7,C1,0,4.38,0,-463.6358786,-461.3273207,0.00000081,0.00000346,-0.0000018,0,-0.001
48,8,C1,0,4.64,0,-463.6369804,-461.328127,-0.00001171,-0.00000867,0.00000137,0,-0.006
48,9,N1,0,6.74,0,-461.328089,-461.328089,0.00000014,0.00000014,-0.00000024,0,0
48,10,C1,0,4.69,0,-463.6358655,-461.3273257,0.00000217,0.00000431,-0.0000018,0,0
48,11,C1,0,3.26,0,-463.6358633,-461.3273031,0.00000781,0.00001939,-0.00000439,0,0.002
48,12,C1,0,3.46,0,-463.636967,-461.3281002,-0.00003348,-0.0000211,0.00000318,0,-0.019
48,13,N1,0,6.63,0,-461.3287069,-461.3287069,-0.00000148,-0.00000148,-0.00000009,0,-0.001
48,14,C1,0,4.39,0,-463.6368069,-461.3276876,-0.00000872,-0.00000537,0.00000029,0,-0.005
48,15,C1,0,2.68,0,-463.6367973,-461.3276445,-0.00000242,0.00002381,0.00000191,0,0
48,16,C1,0,2.99,0,-463.6373553,-461.328014,-0.00004005,-0.00001407,-0.00000039,0,-0.025
48,17,N1,0,8.19,0,-461.328091,-461.328091,0.00000141,0.00000141,-0.00000004,0,0.001
48,18,C1,0,6.35,0,-463.6365771,-461.327694,0.00000509,0.00000539,-0.00000089,0,0.003
48,19,C1,0,5.17,0,-463.6366234,-461.3277364,0.00000474,0.00000562,-0.00000194,0,0.002
48,20,C1,0,5.11,0,-463.6375198,-461.328487,-0.00000836,-0.00000688,0.00000025,0,-0.005
48,21,N1,0,7.27,0,-461.3281028,-461.3281028,0.00000017,0.00000017,0.00000004,0,0
48,22,C1,0,5.13,0,-463.6357667,-461.3273618,0.00000321,0.00000437,-0.00000074,0,0.002
48,23,C1,0,3.56,0,-463.6357562,-461.3273401,0.00001425,0.00002102,-0.00000414,0,0.006
48,24,C1,0,3.47,0,-463.6368695,-461.3281528,-0.00004124,-0.00002906,0.00000372,0,-0.024
48,25,N1,0,6.75,0,-461.328121,-461.328121,-0.00000144,-0.00000144,0.00000022,0,-0.001
48,26,C1,0,4.34,0,-463.6357811,-461.3273744,-0.00000668,-0.0000031,0.00000008,0,-0.004
48,27,C1,0,2.19,0,-463.6357249,-461.3272379,0.00004822,0.0001275,-0.00002517,0,0.014
48,28,C1,0,2.09,0,-463.6371956,-461.3282834,-0.00038111,-0.00017974,0.00001684,0,-0.229
48,29,N1,0,6.7,0,-461.3284988,-461.3284988,-0.00000147,-0.00000147,-0.00000034,0,-0.001
48,30,C1,0,4.25,0,-463.6366483,-461.3277591,-0.00001349,-0.00000879,-0.00000128,0,-0.009
48,31,C1,0,1.86,0,-463.6371383,-461.3279621,-0.00054527,-0.00025735,0.00000339,0,-0.34
48,32,C1,0,1.13,0,-463.6407333,-461.327016,-0.00357829,0.00106592,-0.00007373,0,-2.292
48,33,N1,0,8.59,0,-461.3280812,-461.3280812,0.00000071,0.00000071,0.00000021,0,0.001
48,34,N1,0,6.62,0,-461.3277007,-461.3277007,0.00000367,0.00000367,-0.0000001,0,0.002
48,35,C1,0,5.19,0,-463.6366281,-461.3277426,0.00000671,0.00000762,-0.00000109,0,0.004
48,36,C1,0,4.8,0,-463.6375488,-461.3285033,-0.00000796,-0.00000601,0.00000003,0,-0.005
48,37,N1,0,7.73,0,-461.3281038,-461.3281038,-0.00000049,-0.00000049,0.00000028,0,0
48,38,C1,0,5.46,0,-463.635773,-461.3273642,-0.00000024,0.00000074,0.0000002,0,0
48,39,C1,0,3.59,0,-463.6357574,-461.327347,0.00001713,0.00002446,-0.00000171,0,0.01
48,40,C1,0,2.99,0,-463.6368996,-461.3281606,-0.0000665,-0.0000409,0.00000289,0,-0.04
48,41,N1,0,7.23,0,-461.3281253,-461.3281253,-0.00000172,-0.00000172,0.00000045,0,-0.001
48,42,C1,0,4.73,0,-463.6357802,-461.3273686,-0.00000992,-0.00000758,0.00000161,0,-0.005
48,43,C1,0,2.32,0,-463.6358624,-461.3273807,-0.00009216,-0.00001421,0.00000706,0,-0.053
48,44,C1,0,1.18,0,-463.6409094,-461.3279545,-0.00408813,0.00014888,0.00002685,0,-2.548
48,45,N1,0,7.19,0,-461.3284809,-461.3284809,-0.00000066,-0.00000066,-0.00000043,0,-0.001
48,46,C1,0,4.66,0,-463.6366313,-461.3277429,-0.00000311,-0.00000075,-0.00000279,0,-0.004
48,47,C1,0,2.19,0,-463.63673,-461.3276894,-0.00014741,0.00001035,-0.00002583,0,-0.109
49,1,C1,0,4.81,0,-463.6374061,-461.3279048,-0.0000025,-0.00000047,-0.0000002,0,-0.002
49,2,C1,0,6.25,0,-463.6368191,-461.3275286,-0.00000059,-0.00000007,-0.00000082,0,-0.001
49,3,N1,0,8.19,0,-461.3275587,-461.3275587,0.00000028,0.00000028,-0.00000058,0,0
49,4,N1,0,10.4,0,-461.3283306,-461.3283306,-0.00000002,-0.00000002,-0.00000021,0,0
49,5,C1,0,5,0,-463.6371269,-461.3279743,0.00000126,0.00000268,-0.00000106,0,0
49,6,C1,0,6.33,0,-463.6360278,-461.3272438,-0.00000134,-0.00000086,-0.00000022,0,-0.001
49,7,N1,0,8.26,0,-461.3272324,-461.3272324,-0.00000062,-0.00000062,0.00000001,0,0
49,8,N1,0,10.45,0,-461.3280263,-461.3280263,-0.00000041,-0.00000041,0.00000009,0,0
49,9,C1,0,5.72,0,-463.6371418,-461.327994,0.0000021,0.00000266,-0.00000092,0,0.001
49,10,N1,0,6.91,0,-461.3272373,-461.3272373,0.0000002,0.0000002,-0.00000018,0,0
49,11,N1,0,8.71,0,-461.3272303,-461.3272303,-0.00000027,-0.00000027,-0.00000001,0,0
49,12,N1,0,10.81,0,-461.3279869,-461.3279869,-0.00000028,-0.00000028,0.0000001,0,0
49,13,N1,0,6.87,0,-461.3286115,-461.3286115,0.00000138,0.00000138,-0.00000032,0,0.001
49,14,N1,0,7.89,0,-461.3275887,-461.3275887,0.00000114,0.00000114,0.00000013,0,0.001
49,15,N1,0,9.5,0,-461.3275755,-461.3275755,0.00000037,0.00000037,0.00000023,0,0
49,16,N1,0,11.46,0,-461.3279074,-461.3279074,0.00000002,0.00000002,0.00000018,0,0
49,17,C1,0,2.99,0,-463.6373553,-461.328014,-0.00004005,-0.00001407,-0.00000039,0,-0.025
49,18,C1,0,4.61,0,-463.6367333,-461.327609,-0.00000461,-0.00000203,-0.00000181,0,-0.004
49,19,N1,0,6.79,0,-461.3276494,-461.3276494,0.00000016,0.00000016,-0.00000092,0,0
49,20,N1,0,9.16,0,-461.3283879,-461.3283879,-0.00000021,-0.00000021,-0.00000021,0,0
49,21,C1,0,3.25,0,-463.6369646,-461.327995,0.00000271,0.00001547,-0.0000042,0,-0.001
49,22,C1,0,4.72,0,-463.6359229,-461.327278,-0.00000655,-0.00000437,0.00000034,0,-0.004
49,23,N1,0,6.86,0,-461.3272705,-461.3272705,-0.00000185,-0.00000185,0.00000034,0,-0.001
49,24,N1,0,9.21,0,-461.328032,-461.328032,-0.0000008,-0.0000008,0.00000023,0,0
49,25,C1,0,4.27,0,-463.6369746,-461.3280196,0.00000483,0.00000747,-0.0000022,0,0.002
49,26,C1,0,5.48,0,-463.6359207,-461.3272778,0.00000009,0.000001,0.00000005,0,0
49,27,N1,0,7.4,0,-461.3272735,-461.3272735,-0.00000063,-0.00000063,0.00000017,0,0
49,28,N1,0,9.62,0,-461.3280117,-461.3280117,-0.00000047,-0.00000047,0.00000021,0,0
49,29,C1,0,5.72,0,-463.6376859,-461.3284029,0.00000142,0.00000198,-0.00000062,0,0.001
49,30,N1,0,6.67,0,-461.3276553,-461.3276553,0.00000247,0.00000247,0.00000014,0,0.002
49,31,N1,0,8.32,0,-461.3276116,-461.3276116,0.00000075,0.00000075,0.00000033,0,0.001
49,32,N1,0,10.34,0,-461.3279894,-461.3279894,0.00000005,0.00000005,0.00000025,0,0
49,33,C1,0,1.13,0,-463.6408823,-461.3269323,-0.00358085,0.00105722,-0.00007598,0,-2.295
49,34,C1,0,3.2,0,-463.6367589,-461.3276134,-0.0000198,-0.00000151,-0.00000676,0,-0.017
49,35,C1,0,5.63,0,-463.6367819,-461.3276576,-0.00000064,0.00000014,-0.00000162,0,-0.001
49,36,N1,0,8.08,0,-461.3284052,-461.3284052,-0.00000044,-0.00000044,-0.00000029,0,0
49,37,C1,0,1.32,0,-463.637175,-461.3277432,-0.00021448,0.00026757,-0.00003353,0,-0.156
49,38,C1,0,3.36,0,-463.6359523,-461.3272919,-0.00003303,-0.00001946,0.00000352,0,-0.019
49,39,C1,0,5.7,0,-463.6359264,-461.3272835,-0.00000546,-0.00000459,0.00000105,0,-0.003
49,40,N1,0,8.12,0,-461.3280285,-461.3280285,-0.00000132,-0.00000132,0.00000037,0,-0.001
49,41,C1,0,3.24,0,-463.6369788,-461.3280226,-0.00000422,0.00000848,-0.00000353,0,-0.005
49,42,C1,0,4.36,0,-463.6359122,-461.3272609,0.00000457,0.00000767,0,0,0.003
49,43,C1,0,6.33,0,-463.6359179,-461.3272747,-0.00000114,-0.00000063,0.00000035,0,0
49,44,N1,0,8.56,0,-461.3280115,-461.3280115,-0.0000006,-0.0000006,0.00000028,0,0
49,45,C1,0,5,0,-463.6376589,-461.3283874,-0.000001,0.00000034,-0.00000076,0,-0.001
49,46,C1,0,5.78,0,-463.6367691,-461.3276435,0.00000549,0.0000061,-0.0000003,0,0.003
49,47,N1,0,7.36,0,-461.3276053,-461.3276053,0.00000206,0.00000206,0.00000029,0,0.001
49,48,N1,0,9.35,0,-461.3279996,-461.3279996,0.0000003,0.0000003,0.00000028,0,0
50,1,C1,0,4.3,0,-463.6368797,-461.3275668,0.00000315,0.00000559,0.00000064,0,0.002
50,2,C1,0,4.81,0,-463.6362995,-461.3271962,-0.00000167,0.00000038,-0.00000022,0,-0.001
50,3,C1,0,6.25,0,-463.6363356,-461.3272266,-0.00000017,0.00000039,-0.00000098,0,-0.001
50,4,N1,0,8.19,0,-461.3279986,-461.3279986,-0.00000008,-0.00000008,-0.0000004,0,0
50,5,C1,0,4.71,0,-463.6366054,-461.3276413,0.0000021,0.00000372,-0.00000013,0,0.001
50,6,C1,0,5,0,-463.6355054,-461.3269092,0.00000028,0.00000176,-0.00000098,0,0
50,7,C1,0,6.33,0,-463.6355063,-461.3269004,-0.00000117,-0.00000065,-0.00000033,0,-0.001
50,8,N1,0,8.26,0,-461.3276948,-461.3276948,-0.00000086,-0.00000086,0.00000021,0,0
50,9,C1,0,5.54,0,-463.6366224,-461.3276633,0.00000073,0.00000141,-0.0000003,0,0
50,10,C1,0,5.72,0,-463.635492,-461.3269036,0.00000135,0.00000193,-0.00000057,0,0
50,11,N1,0,6.91,0,-461.3268978,-461.3268978,0.00000028,0.00000028,-0.00000024,0,0
50,12,N1,0,8.71,0,-461.3276551,-461.3276551,-0.0000004,-0.0000004,0.00000022,0,0
50,13,N1,0,6.72,0,-461.328281,-461.328281,-0.00000009,-0.00000009,-0.00000024,0,0
50,14,N1,0,6.87,0,-461.3272562,-461.3272562,0.00000163,0.00000163,-0.00000044,0,0.001
50,15,N1,0,7.89,0,-461.3272426,-461.3272426,0.0000013,0.0000013,-0.00000005,0,0.001
50,16,N1,0,9.5,0,-461.3275751,-461.3275751,0.00000037,0.00000037,0.00000023,0,0
50,17,C1,0,2.68,0,-463.6367969,-461.3276441,-0.00000242,0.00002381,0.00000191,0,0
50,18,C1,0,2.99,0,-463.6362459,-461.3272869,-0.00003801,-0.00001199,0.00000017,0,-0.024
50,19,C1,0,4.61,0,-463.6362576,-461.3273187,-0.00000375,-0.00000105,-0.00000223,0,-0.004
50,20,N1,0,6.79,0,-461.3280565,-461.3280565,-0.00000078,-0.00000078,-0.00000046,0,-0.001
50,21,C1,0,3.36,0,-463.636463,-461.3276825,-0.00001643,-0.00000394,0.00000141,0,-0.009
50,22,C1,0,3.25,0,-463.6353956,-461.3269286,-0.00000003,0.00001305,-0.00000274,0,-0.002
50,23,C1,0,4.72,0,-463.6354024,-461.3269407,-0.00000629,-0.00000401,0.00000016,0,-0.004
50,24,N1,0,6.86,0,-461.3277016,-461.3277016,-0.0000023,-0.0000023,0.00000076,0,-0.001
50,25,C1,0,4.42,0,-463.6364651,-461.3276987,-0.00000648,-0.0000036,0.00000012,0,-0.004
50,26,C1,0,4.27,0,-463.6353963,-461.3269404,0.00000376,0.00000648,-0.00000074,0,0.002
50,27,C1,0,5.48,0,-463.6353987,-461.3269399,0.00000012,0.00000104,-0.00000005,0,0
50,28,N1,0,7.4,0,-461.32768,-461.32768,-0.00000076,-0.00000076,0.00000057,0,0
50,29,C1,0,5.82,0,-463.6371697,-461.3280754,-0.00000311,-0.00000251,-0.00000015,0,-0.002
50,30,C1,0,5.72,0,-463.636259,-461.3273238,0.00000157,0.00000208,-0.00000066,0,0.001
50,31,N1,0,6.67,0,-461.3272776,-461.3272776,0.0000027,0.0000027,-0.00000015,0,0.002
50,32,N1,0,8.32,0,-461.3276568,-461.3276568,0.00000067,0.00000067,0.00000034,0,0.001
50,33,C1,0,1.86,0,-463.6373159,-461.3279048,-0.00053519,-0.00024727,0.00000173,0,-0.335
50,34,C1,0,1.13,0,-463.6397671,-461.3261711,-0.00354877,0.0011088,-0.00007104,0,-2.271
50,35,C1,0,3.2,0,-463.6362806,-461.3273272,-0.00002013,-0.00000148,-0.00000791,0,-0.018
50,36,C1,0,5.63,0,-463.6371695,-461.3280749,-0.00000289,-0.00000212,-0.00000081,0,-0.002
50,37,C1,0,2.65,0,-463.636527,-461.3277083,-0.00008727,-0.00002948,0.0000019,0,-0.054
50,38,C1,0,1.32,0,-463.6356195,-461.3266777,-0.00022105,0.00026278,-0.00002765,0,-0.156
50,39,C1,0,3.36,0,-463.6354327,-461.3269656,-0.00003251,-0.00001865,0.0000034,0,-0.018
50,40,C1,0,5.7,0,-463.6364649,-461.3277005,-0.0000061,-0.00000524,0.00000165,0,-0.003
50,41,C1,0,3.88,0,-463.6364727,-461.3277112,-0.00001889,-0.00001207,0.00000137,0,-0.011
50,42,C1,0,3.24,0,-463.6354011,-461.326929,-0.00000505,0.00000758,-0.00000067,0,-0.004
50,43,C1,0,4.36,0,-463.6353911,-461.3269341,0.00000487,0.00000796,-0.00000025,0,0.003
50,44,C1,0,6.33,0,-463.6364481,-461.3276796,-0.00000115,-0.00000064,0.00000086,0,0
50,45,C1,0,5.43,0,-463.6371439,-461.3280614,-0.00000668,-0.00000563,0.00000019,0,-0.004
50,46,C1,0,5,0,-463.6362546,-461.3273172,-0.00000078,0.00000045,-0.00000115,0,-0.001
50,47,C1,0,5.78,0,-463.6362023,-461.3272688,0.000006,0.00000658,-0.0000008,0,0.003
50,48,N1,0,7.36,0,-461.3276661,-461.3276661,0.00000188,0.00000188,0.00000029,0,0.001
50,49,C1,0,2.19,0,-463.6371091,-461.3275868,-0.00016822,-0.00001133,-0.00001514,0,-0.115
51,1,C1,0,5.18,0,-463.6368874,-461.3275865,-0.00000091,0.00000013,0.0000004,0,0
51,2,C1,0,4.3,0,-463.6362983,-461.3272052,0.00000318,0.00000564,0.00000094,0,0.003
51,3,C1,0,4.81,0,-463.6363407,-461.3272409,-0.00000167,0.00000038,-0.00000028,0,-0.001
51,4,C1,0,6.25,0,-463.6372439,-461.3280133,-0.00000105,-0.00000052,-0.0000005,0,-0.001
51,5,C1,0,5.53,0,-463.6366129,-461.3276602,-0.00000183,-0.000001,0.0000005,0,-0.001
51,6,C1,0,4.71,0,-463.6355086,-461.3269228,0.00000075,0.00000245,-0.00000024,0,0
51,7,C1,0,5,0,-463.6355086,-461.3269123,0.00000019,0.00000168,-0.00000101,0,-0.001
51,8,C1,0,6.33,0,-463.6365998,-461.3277094,-0.00000178,-0.0000013,0.00000022,0,-0.001
51,9,C1,0,6.4,0,-463.6366279,-461.3276796,-0.0000011,-0.00000065,0.00000019,0,-0.001
51,10,C1,0,5.54,0,-463.6354972,-461.3269192,-0.00000017,0.00000054,-0.00000026,0,0
51,11,C1,0,5.72,0,-463.6354992,-461.3269105,0.00000125,0.00000183,-0.00000058,0,0
51,12,N1,0,6.91,0,-461.3276689,-461.3276689,-0.00000002,-0.00000002,0.00000026,0,0
51,13,N1,0,7.49,0,-461.3282961,-461.3282961,-0.00000094,-0.00000094,0,0,-0.001
51,14,N1,0,6.72,0,-461.3272726,-461.3272726,-0.0000005,-0.0000005,-0.00000041,0,-0.001
51,15,N1,0,6.87,0,-461.3272565,-461.3272565,0.00000163,0.00000163,-0.00000044,0,0.001
51,16,N1,0,7.89,0,-461.3275886,-461.3275886,0.00000114,0.00000114,0.00000013,0,0.001
51,17,C1,0,4.39,0,-463.6368068,-461.3276876,-0.00000872,-0.00000537,0.00000029,0,-0.005
51,18,C1,0,2.68,0,-463.6362109,-461.327262,0.00000065,0.00002723,0.0000011,0,0.001
51,19,C1,0,2.99,0,-463.6362953,-461.3273437,-0.00003788,-0.00001183,-0.00000011,0,-0.024
51,20,C1,0,4.61,0,-463.6371473,-461.3280738,-0.00000647,-0.00000386,-0.00000072,0,-0.005
51,21,C1,0,4.79,0,-463.6364557,-461.327696,-0.00000551,-0.00000321,0.00000091,0,-0.003
51,22,C1,0,3.36,0,-463.6354157,-461.3269597,-0.00001647,-0.00000375,0.0000002,0,-0.01
51,23,C1,0,3.25,0,-463.6354008,-461.3269388,-0.00000098,0.00001211,-0.00000284,0,-0.002
51,24,C1,0,4.72,0,-463.636465,-461.3277188,-0.00000749,-0.0000053,0.00000155,0,-0.004
51,25,C1,0,5.77,0,-463.6364647,-461.3277108,-0.00000238,-0.00000143,0.00000043,0,-0.001
51,26,C1,0,4.42,0,-463.6354108,-461.3269653,-0.00000707,-0.00000419,0.0000001,0,-0.004
51,27,C1,0,4.27,0,-463.6353994,-461.3269493,0.00000314,0.00000585,-0.00000078,0,0.001
51,28,C1,0,5.48,0,-463.636444,-461.3276927,-0.00000016,0.00000077,0.00000093,0,0
51,29,N1,0,6.94,0,-461.3280887,-461.3280887,-0.0000016,-0.0000016,0.00000013,0,-0.001
51,30,C1,0,5.82,0,-463.6362681,-461.3273434,-0.00000391,-0.00000336,-0.00000022,0,-0.003
51,31,C1,0,5.72,0,-463.6362209,-461.3272926,0.00000147,0.00000198,-0.00000067,0,0
51,32,N1,0,6.67,0,-461.3276695,-461.3276695,0.00000227,0.00000227,0.00000018,0,0.002
51,33,C1,0,4.25,0,-463.6367975,-461.3276801,-0.00001312,-0.00000838,-0.00000116,0,-0.009
51,34,C1,0,1.86,0,-463.6367501,-461.3275334,-0.00052811,-0.00023916,-0.000005,0,-0.335
51,35,C1,0,1.13,0,-463.6398098,-461.3262265,-0.00354569,0.00111355,-0.00007271,0,-2.271
51,36,C1,0,3.2,0,-463.637201,-461.3280994,-0.00003077,-0.00001235,-0.00000268,0,-0.021
51,37,C1,0,4.7,0,-463.6364422,-461.3276892,0.00000119,0.00000383,0.00000009,0,0.001
51,38,C1,0,2.65,0,-463.6354855,-461.3269817,-0.00008334,-0.00002691,-0.00000224,0,-0.054
51,39,C1,0,1.32,0,-463.6356331,-461.3267065,-0.00022926,0.00025471,-0.00002723,0,-0.161
51,40,C1,0,3.36,0,-463.6364973,-461.3277307,-0.00003488,-0.00002124,0.00000633,0,-0.018
51,41,C1,0,5.69,0,-463.6364566,-461.3277116,0.00000085,0.00000182,0.00000028,0,0.001
51,42,C1,0,3.88,0,-463.6354203,-461.3269651,-0.00002067,-0.00001428,0.00000122,0,-0.012
51,43,C1,0,3.24,0,-463.6354061,-461.3269503,-0.00000653,0.00000606,-0.00000074,0,-0.005
51,44,C1,0,4.36,0,-463.636446,-461.3276854,0.00000463,0.00000778,0.00000139,0,0.004
51,45,N1,0,6.86,0,-461.3280709,-461.3280709,-0.00000095,-0.00000095,0.00000018,0,0
51,46,C1,0,5.43,0,-463.6362656,-461.3273391,-0.00000811,-0.00000713,0.00000008,0,-0.005
51,47,C1,0,5,0,-463.6362129,-461.3272893,-0.00000097,0.00000025,-0.00000115,0,-0.001
51,48,C1,0,5.78,0,-463.6367932,-461.3276766,0.00000495,0.00000556,-0.0000002,0,0.003
51,49,C1,0,4.66,0,-463.6369483,-461.3275911,-0.00000373,-0.0000014,-0.00000218,0,-0.004
51,50,C1,0,2.19,0,-463.6366073,-461.3272842,-0.00018349,-0.00002648,-0.0000189,0,-0.127
52,1,N1,0,6.95,0,-461.3286103,-461.3286103,-0.0000005,-0.0000005,-0.00000014,0,0
52,2,C1,0,5.18,0,-463.6374863,-461.3282322,0.00000067,0.00000176,-0.00000043,0,0
52,3,C1,0,4.3,0,-463.637522,-461.3282594,0.00000265,0.00000504,-0.00000006,0,0.002
